TokenID,Filename,Label,Start[s],DUR,f0,COG
1,0009,a,1.5900000000000034,49.99999999999716,172.21596389791245,285.81431898565506
2,0009,a,1.8200000000000005,60.00000000000183,205.76795734778787,495.92285721590724
3,0009,a,2.3200000000000003,81.2856591060438,171.0030526569248,313.3631902796547
4,0009,a,2.969999999999999,10.000000000005116,102.96676668792868,539.4618584067522
5,0009,a,5.010000000000005,49.99999999999716,166.70263420061332,253.45196552570914
6,0009,a,5.190000000000005,29.99999999999403,171.00364718737714,430.8676046257016
7,0009,a,5.296704345845193,83.68782005734943,160.76593438306034,581.5667404050649
8,0009,a,6,10.000000000005116,105.47454542374807,170.13390585500673
9,0009,a,8.649999999999999,40.00000000000625,172.28402976476954,213.53969273186536
10,0009,a,8.79,30.000000000001137,186.1664419922665,343.442556389747
11,0009,a,8.899999999999999,109.37779765673383,169.17068045753476,303.4503875964259
12,0009,a,9.559999999999995,10.000000000005116,104.98104847510635,367.03198616478704
13,0009,a,15.720000000000006,49.99999999999716,169.5381327965962,353.23054803560854
14,0009,a,15.880000000000004,29.99999999999936,174.47190477131448,250.74790467116298
15,0009,a,15.979999999999997,78.98444818606265,170.07174360786746,515.3558886827975
16,0009,i,16.301135837977846,79.94100368127022,196.02661386502035,388.13254617841574
17,0009,a,16.68,10.000000000005116,105.56336851640866,604.940403900861
18,0009,a,19.809999999999995,50.00000000001137,177.3574150206844,283.6412646339292
19,0009,a,19.96999999999999,30.000000000008242,178.19417605830878,429.77440794809314
20,0009,i,20.07124687952152,87.11201714391947,174.21066191022328,257.59811521420977
21,0009,a,20.317649442300016,124.4457387770268,198.6598520562314,671.0853725677144
22,0009,a,20.85,29.97916666666356,101.74118215151198,179.16849400661445
23,0009,a,24.97997916666666,50.00000000001137,173.54661868323737,285.8938302398083
24,0009,a,25.199979166666672,29.999999999986926,184.83083588385884,300.4589571005402
25,0009,i,25.449979166666672,69.99999999999318,183.93746819913312,390.40429501024823
26,0009,a,25.82635385682752,172.30002735184868,190.03253699397098,388.6812775602357
27,0009,a,26.489979166666664,9.999999999987352,99.8114205685958,247.62352628940442
28,0009,a,29.41997916666667,49.99999999999716,168.76967337595303,279.96355694166635
29,0009,a,29.579979166666668,30.000000000001137,168.8385300887369,250.8487644907401
30,0009,a,29.679979166666666,75.99235504099155,163.49967948291115,411.74974950863464
31,0009,a,29.91852313573815,133.06550729939204,176.91563716350586,370.5911916299465
32,0009,a,30.36997916666666,30.000000000001137,104.79948285869096,614.5921173830595
33,0009,a,33.54997916666667,49.99999999999716,167.41958064019602,248.24167629055322
34,0009,a,33.72997916666667,39.99999999999204,182.62290301001687,303.5520740259407
35,0009,a,33.9147417556861,78.28169928613704,168.0363509202109,394.4801124127751
36,0009,a,34.22699875617192,98.28702243704157,190.85536021126418,542.2314487397167
37,0009,a,34.60997916666667,9.999999999990905,106.3904568437363,417.68221650323085
