TokenID,Filename,Label,Start[s],End[s],Step,Time,f0,Intensity,F1,F2,F3,F4,F5
1,0009,a,1.5900000000000034,1.6400000000000006,0,1.5900000000000034,167.50810794396156,70.91918650064987,278.3678676665205,1107.943000877901,2457.5825898907883,3894.6704708393863,4946.970119986279
1,0009,a,1.5900000000000034,1.6400000000000006,1,1.6066666666666691,172.83116786832997,71.07246713198415,338.52096906621773,1436.0511896774385,2352.966436194995,3825.2487352562966,5017.111891786112
1,0009,a,1.5900000000000034,1.6400000000000006,2,1.6233333333333348,170.4619112858368,70.77225039282268,393.47215257936136,1651.541354293606,2612.946691285346,3818.5637351005807,--undefined--
1,0009,a,1.5900000000000034,1.6400000000000006,3,1.6400000000000006,168.2350804800846,69.96710920809628,477.05986670418656,1632.6237191576256,3082.817141947082,3874.10243382845,--undefined--
2,0009,a,1.8200000000000005,1.8800000000000023,0,1.8200000000000005,196.64983879675452,69.1612150755232,557.9913287877544,1570.83776347718,2737.2096461020205,3861.8053575246736,--undefined--
2,0009,a,1.8200000000000005,1.8800000000000023,1,1.8400000000000012,203.34606761973595,69.11734757189701,578.1767018671081,1592.040114994039,2574.7231961800717,3924.1050300139245,--undefined--
2,0009,a,1.8200000000000005,1.8800000000000023,2,1.8600000000000017,208.2796733165024,68.68733433186424,601.0767485842135,1516.71008068239,3113.440560446068,3896.314258823186,--undefined--
2,0009,a,1.8200000000000005,1.8800000000000023,3,1.8800000000000023,209.7433079023982,68.58634160941104,577.0588866472668,1465.8702329385223,3034.4658573500924,3898.166872602963,--undefined--
3,0009,a,2.3200000000000003,2.401285659106044,0,2.3200000000000003,197.13223684588613,60.9976661338009,563.8632436164218,1353.478771332575,2554.9014867993683,3675.1520327990934,4367.591486144672
3,0009,a,2.3200000000000003,2.401285659106044,1,2.3470952197020147,176.56771645388014,68.99876887263181,560.3144333625246,1413.463744649925,2486.496221127417,3724.6064636529595,--undefined--
3,0009,a,2.3200000000000003,2.401285659106044,2,2.3741904394040296,167.8164976116916,70.15837589598496,481.40672517581316,1468.4274956220158,2483.655355011489,3730.479807183757,--undefined--
3,0009,a,2.3200000000000003,2.401285659106044,3,2.401285659106044,155.64291386369266,65.5151563063864,355.2150677473697,1298.6664555654525,2356.0205355156145,3441.1781615479235,--undefined--
4,0009,a,2.969999999999999,2.980000000000004,0,2.969999999999999,105.79245894687237,65.89921350976806,603.8409738529904,1274.322725144629,2322.6000162882387,3431.5082768638626,4243.508777864815
4,0009,a,2.969999999999999,2.980000000000004,1,2.973333333333334,103.99887343495438,65.1808780829951,608.5028005077575,1269.4870601546165,2316.6797675938374,3460.974490280256,4255.384188022726
4,0009,a,2.969999999999999,2.980000000000004,2,2.976666666666669,101.934659940903,64.41011738569675,615.3321060592907,1265.1766952516596,2320.0421579148115,3432.8565799215135,4285.89687014363
4,0009,a,2.969999999999999,2.980000000000004,3,2.980000000000004,99.87044644685128,63.61587719246458,626.0780840032211,1261.8155568218003,2340.1784397898623,3300.683147653466,4350.087429671296
5,0009,a,5.010000000000005,5.060000000000002,0,5.010000000000005,164.4498521536435,71.47115407778517,285.2431510762669,1151.556476103122,2590.6897420827613,3401.4956070578255,4910.477089215121
5,0009,a,5.010000000000005,5.060000000000002,1,5.026666666666671,167.19454511098337,71.38107150428662,324.49595943210414,1439.4635493994629,2408.728403651786,3776.7381060257712,5109.896139935542
5,0009,a,5.010000000000005,5.060000000000002,2,5.0433333333333366,164.80019912218594,70.4107265450218,376.36813808657274,1650.652366362402,2491.064459800728,3776.6491621173436,4918.692150442918
5,0009,a,5.010000000000005,5.060000000000002,3,5.060000000000002,163.67527558286073,69.75507834483214,430.22667086115797,1674.4195007876535,2535.7100688516125,3768.730876945115,--undefined--
6,0009,a,5.190000000000005,5.219999999999999,0,5.190000000000005,169.90743635112963,69.39621144793286,491.177221390274,1682.1653911930434,2869.0323660828476,3791.2635733677967,--undefined--
6,0009,a,5.190000000000005,5.219999999999999,1,5.200000000000003,170.58801641252583,69.34262554121815,498.4652782767462,1651.0713407266064,3032.958103113813,3800.7974201982493,--undefined--
6,0009,a,5.190000000000005,5.219999999999999,2,5.210000000000001,171.44083290527604,69.4453742891788,497.8251825016923,1589.855992280458,3054.680798388807,3814.1087192424584,--undefined--
6,0009,a,5.190000000000005,5.219999999999999,3,5.219999999999999,172.0436685888008,69.5708801192509,485.8601868248158,1541.132537227068,3028.7594863964846,3829.1734763348854,--undefined--
7,0009,a,5.296704345845193,5.380392165902542,0,5.296704345845193,172.64850163890242,71.04873907404225,423.9419726221184,1037.8794066235018,2423.4709026939613,3807.146596540914,4370.557464873831
7,0009,a,5.296704345845193,5.380392165902542,1,5.324600285864309,165.8744479104051,71.07408473046503,564.7462516942632,1101.5755113699306,2429.613227526212,3517.639888805323,4180.692749533778
7,0009,a,5.296704345845193,5.380392165902542,2,5.352496225883425,153.87123596513166,71.95748077338503,586.8722958912363,1050.9981356816327,2428.0600781892313,3496.749742362391,4472.4521073451715
7,0009,a,5.296704345845193,5.380392165902542,3,5.380392165902542,143.65155446421392,66.66412103952828,460.1355628124747,948.4321413357953,2409.474053604557,3366.8526907273817,4632.770057719344
8,0009,a,6,6.010000000000005,0,6,106.5360167727997,61.12545135162175,551.2706051974085,1229.9229023476976,2346.931791995213,2947.7679959796546,4251.61222817243
8,0009,a,6,6.010000000000005,1,6.003333333333335,105.86707682657175,60.89437501556338,559.5314393703801,1217.299130986814,2328.7827697247185,2919.0514233402605,4260.236951545423
